,Year,Currency,Value
0,2007 - 2008,Rs.,65586352.18
1,2007 - 2008,USD$,163132.18
2,2008 - 2009,Rs.,84075505.87
3,2008 - 2009,USD$,185295.36
4,2009 - 2010,Rs.,84553364.38
5,2009 - 2010,USD$,178751.43
6,2010 - 2011,Rs.,113696426.38
7,2010 - 2011,USD$,249815.55
8,2011 - 2012,Rs.,146595939.96
9,2011 - 2012,USD$,305963.92
10,2012 - 2013,Rs.,163431828.96
11,2012 - 2013,USD$,300400.58
12,2013 - 2014,Rs.,190501108.86
13,2013 - 2014,USD$,314405.30
14,2014 - 2015,Rs.,189634841.76
15,2014 - 2015,USD$,310338.48
16,2015 - 2016,Rs.,171638440.44
17,2015 - 2016,USD$,262291.09
18,2016 - 2017,Rs.,184943355.34
19,2016 - 2017,USD$,275852.43
20,2017 - 2018,Rs.,195651452.80
21,2017 - 2018,USD$,303526.16
